TimeStamp;LostFrames;noAudioPlayed;avgInterAudioPlayedDelay;NetReadOperations;NetReadBytes;NetReadAvgDelay;noAudioLost;noAudioLate;NoRTPPkts;AvgRTPInterPktDelay;LostRTPPkts;AvgRTPJitter;DispFrames;AvgInterDispDelay
1481833945;0;42;0.0240006446838;239;111170;0.00444475377454;0;0;0;0;0;0;24;0.0417102078597
1481833946;0;41;0.0240004876765;126;55152;0.0081121353876;0;0;0;0;0;0;24;0.0417082905769
1481833948;0;42;0.0240002359663;74;34872;0.0136310957574;0;0;0;0;0;0;24;0.0417046248913
1481833951;0;42;0.024000071343900004;134;59496;0.008094992210620001;0;0;0;0;0;0;24;0.041707297166199996
1481833953;0;24;0.0403936704;82;41024;0.0121677939485;0;0;0;0;0;0;24;0.0417067408562
1481833954;0;16;0.04351787269119999;93;49224;0.009965312096379998;0;0;0;0;0;0;24;0.0417085886002
1481833955;0;15;0.0845700581868;73;43064;0.013474271722;0;0;0;0;0;0;24;0.041709293921800006
1481833956;0;16;0.028901010751700002;136;75880;0.00801793442053;0;0;0;0;0;0;17;0.0417090023265
1481833957;0;0;0.0;115;53336;0.00836723576421;0;0;0;0;0;0;8;0.163157373667
1481833959;0;0;0.0;173;77960;0.00592359504259;0;0;0;0;0;0;13;0.07615876197810001
1481833960;0;0;0.0;71;27520;0.0141281980864;0;0;0;0;0;0;13;0.07625491802510001
1481833961;0;0;0.0;104;54176;0.00960656542044;0;0;0;0;0;0;13;0.0759823138897
1481833964;0;0;0.0;163;71808;0.00622498184625;0;0;0;0;0;0;14;0.0760622876031
1481833965;0;0;0.0;49;19312;0.0200943849525;0;0;0;0;0;0;13;0.07608485221860001
1481833967;0;0;0.0;86;35728;0.0120999868526;0;0;0;0;0;0;13;0.07612461310169999
1481833968;0;0;0.0;81;36928;0.0120149159137;0;0;0;0;0;0;13;0.0761528381935
1481833969;0;112;0.121637178319;69;34872;0.0144295623337;0;0;0;0;0;0;13;0.07615707470819999
1481833971;0;42;0.023999361764799998;73;34872;0.011294286544999999;0;0;0;0;0;0;24;0.0417030851046
1481833972;0;42;0.023999094963099998;101;43088;0.0117486632696;0;0;0;0;0;0;24;0.0417134960492
1481833973;0;41;0.024000045729799996;80;32832;0.0095615118742;0;0;0;0;0;0;24;0.041706085205099996
1481833975;0;42;0.0239996399198;80;37768;0.012829101085700002;0;0;0;0;0;0;24;0.041705250740099994
1481833976;0;41;0.024000633053700003;75;42224;0.0107873312632;0;0;0;0;0;0;24;0.0417103668054
1481833979;0;21;0.050382704961900004;98;39832;0.011537673522;0;0;0;0;0;0;24;0.0417062441508
1481833980;0;21;0.0542533851805;105;42248;0.00869978950137;0;0;0;0;0;0;24;0.041708916425699995
1481833981;0;5;0.0839039802551;83;38976;0.0132881446057;0;0;0;0;0;0;15;0.0417057355245
1481833983;0;0;0.0;101;43088;0.00976693040074;0;0;0;0;0;0;13;0.07608791498039999
1481833985;0;0;0.0;75;45112;0.0137092940013;0;0;0;0;0;0;13;0.0761166902689
1481833986;0;0;0.0;83;43072;0.0124448322388;0;0;0;0;0;0;13;0.07619201219999999
1481833987;0;0;0.0;60;39800;0.0164561311404;0;0;0;0;0;0;13;0.07610583305360001
1481833988;0;0;0.0;94;42240;0.009547948837280001;0;0;0;0;0;0;13;0.0761423110962
1481833990;0;0;0.0;82;45120;0.0141267660188;0;0;0;0;0;0;13;0.0761512242831
1481833993;0;107;0.119770627155;84;47168;0.011993334406900001;0;0;0;0;0;0;13;0.0761433748099
1481833994;0;41;0.024000976143799996;42;16416;0.0228901193255;0;0;0;0;0;0;19;0.053565364134900005
1481833997;0;41;0.024000586533;163;73856;0.005806895121470001;0;0;0;0;0;0;24;0.0417076647282
1481833998;0;42;0.0239989530473;83;49216;0.010603988027;0;0;0;0;0;0;24;0.041707376639
1481833999;0;42;0.0240004289718;102;43088;0.010637715751;0;0;0;0;0;0;24;0.041709293921800006
1481834000;0;41;0.024001069185200005;82;38976;0.00933701236074;0;0;0;0;0;0;24;0.0417067507903
1481834001;0;40;0.0239995539188;121;55032;0.0108240734447;0;0;0;0;0;0;24;0.0417096614838
1481834002;0;37;0.024000109853;145;72992;0.0069380283355699995;0;0;0;0;0;0;24;0.04170808196069999
1481834004;0;21;0.0542927696591;73;38968;0.0156475452528;0;0;0;0;0;0;24;0.041708459456800004
1481834005;0;26;0.041153761056800006;94;41032;0.011075478918999999;0;0;0;0;0;0;24;0.0417073369026
1481834006;0;11;0.031771919944099995;90;36936;0.00851313538022;0;0;0;0;0;0;24;0.0417071282864
1481834007;0;0;0.0;91;38984;0.0123770865765;0;0;0;0;0;0;2;0.041718006134
1481834009;0;0;0.0;72;38968;0.0134181082249;0;0;0;0;0;0;13;0.07609869883610001
1481834010;0;0;0.0;77;35720;0.013276468623799999;0;0;0;0;0;0;13;0.0761259152339
1481834011;0;0;0.0;114;45144;0.00868672864479;0;0;0;0;0;0;14;0.076131428991
1481834013;0;0;0.0;100;41040;0.0104048609734;0;0;0;0;0;0;13;0.0761537735279
1481834014;0;0;0.0;84;43072;0.0121206187067;0;0;0;0;0;0;13;0.07617684511039999
1481834023;0;42;0.0240002132597;122;51296;0.00796070646067;0;0;0;0;0;0;24;0.041708459456800004
1481834024;0;42;0.024000928515499998;90;44768;0.013084210289799999;0;0;0;0;0;0;24;0.0417089958986
1481834026;0;42;0.0239998329253;85;41024;0.012340977612700001;0;0;0;0;0;0;24;0.0417098701
1481834027;0;42;0.0240008320127;82;36928;0.00945169460483;0;0;0;0;0;0;24;0.04170808196069999
